kegiatan,lokasi_pembangunan,kelurahan,kecamatan,wilayah,jumlah_unit,status_kepemilikan,anggaran_rupiah
"Penyelesaian Pembangunan Rumah Susun KS Tubun, Jakarta Barat","Jl. KS Tubun, Kota Bambu Selatan, Pal Merah, Jakarta Barat",Kota Bambu Selatan,Pal Merah,Jakarta Barat,524.0,Sewa,9.5E10
Pembangunan Rumah Susun Jatinegara Kaum Blok 1 dan 2 (Multi Years TA.2013-2014),"Jl. Raya Bekasi Timur, Jatinegara Kaum, Pulo Gadung, Jakarta Timur",Jatinegara Kaum,Pulo Gadung,Jakarta Timur,200.0,Sewa,2.9591E10
"Pembangunan Rumah Susun Tambora Tower A, B dan C (Multi Years TA.2013-2014)","Jl. Angke, Angke, Tambora, Jakarta Barat",Angke,Tambora,Jakarta Barat,549.0,Sewa,1.9016305E11
Pembangunan Rumah Susun Pulo Gebang Blok 5 & 6 (Multi Years TA.2013-2014),"Jl. Mutiara, Pulo Gebang, Cakung, Jakarta Timur",Pulo Gebang,Cakung,Jakarta Timur,160.0,Sewa,2.9591E10
Pembangunan Cipinang Besar Selatan Blok 4 & 5 (Multi Years TA.2013- 2014,"JL. PWI, Cipinang Besar Selatan, Jatinegara, Jakarta Timur",Cipinang Besar Selatan,Jatinegara,Jakarta Timur,200.0,Sewa,2.7391E10
Pembangunan Rumah Susun untuk Lokasi Binaan (Lokbin) Rawa Buaya,"Jl. Rawa Buaya Outer Ringroad, Rawa Buaya, Duri Kosambi, Jakarta Barat",Rawa Buaya,Duri Kosambi,Jakarta Barat,384.0,Sewa,6.0E10
Pembangunan Rumah Susun untuk Lokasi Binaan (Lokbin) Semper,"Jl. Belibis 5, Semper Barat, Cilincing, Jakarta Utara",Semper Barat,Cilincing,Jakarta Utara,235.0,Sewa,4.0E10
Pembangunan Rumah Susun Pinus Elok 1 Blok,"Komplek Perumahan Aneka Elok, Penggilingan, Cakung, Jakarta Timur",Penggilingan,Cakung,Jakarta Timur,100.0,Sewa,2.35E10
"Pembangunan Rumah Susun Rawa Bebek, Jakarta Timur","Jl. Rawa Bebek, Pulo Gebang, Cakung, Jakarta Timur",Pulo Gebang,Cakung,Jakarta Timur,400.0,Sewa,4.5E10
"Pembangunan Rumah Susun Jl. Raya Bekasi Km.2, Jakarta Timur","Jl. Raya Bekasi Km.2, Cakung Barat, Cakung, Jakarta Timur",Cakung Barat,Cakung,Jakarta Timur,200.0,Sewa,3.0E10
"Pembangunan Rumah Susun Cakung Barat, Jakarta Timur","Jl. Raya Tipar Cakung, Cakung Barat, Cakung, Jakarta Timur",Cakung Barat,Cakung,Jakarta Timur,300.0,Sewa,4.0E10
"Pembangunan Rumah Susun Jatinegara Kaum, Jakarta Timur ","Jl. Raya Bekasi Tiur, Jatinegara Kaum, Pulo Gadung, Jakarta Timur",Jatinegara Kaum,Pulo Gadung,Jakarta Timur,300.0,Sewa,3.5E10
